Attendance,Grades,Homework Streak,Feedback Behavior,Weekly Test Scores,Attention Test Scores,Ragging,Finance Issue,Mental Health Issue,Physical Health Issue,Discrimination Based on Gender,Physical Disability,Risk Status
93,91,1,1,65,1,0,0,1,1,0,1,1
80,55,0,3,0,59,1,0,1,1,1,0,1
59,85,0,3,45,33,1,0,0,0,1,1,1
69,95,0,5,21,44,0,1,0,0,0,1,1
57,82,1,1,10,84,0,0,1,1,1,1,1
71,91,0,2,70,91,0,0,0,0,1,0,0
87,90,0,3,94,41,0,0,1,0,0,0,1
78,23,1,1,52,75,0,1,1,1,1,0,1
58,71,1,1,97,32,1,0,0,1,1,0,1
93,13,0,1,43,39,1,0,0,0,0,0,1
96,20,1,3,69,7,1,0,0,1,0,1,1
50,94,0,3,79,53,0,0,0,1,1,1,1
90,35,0,1,34,41,1,1,1,0,1,0,1
88,74,1,4,9,25,0,0,0,0,1,1,0
75,35,0,5,28,62,1,1,1,0,0,1,1
60,69,1,3,41,85,0,0,0,0,1,0,0
84,37,1,3,86,54,0,0,1,1,1,1,1
73,22,1,4,3,41,0,0,0,1,1,1,1
82,33,0,1,2,32,1,0,1,0,1,1,1
69,18,0,4,88,9,1,1,0,1,1,0,1
76,0,1,4,70,41,1,0,1,1,1,0,1
64,31,1,1,5,71,0,0,1,1,0,1,1
82,30,0,3,55,57,0,1,1,1,1,1,1
56,45,0,3,45,49,0,1,0,1,1,0,1
83,2,0,1,66,79,1,1,0,0,0,1,1
94,21,0,5,78,32,0,0,1,0,0,1,1
95,18,0,2,6,55,0,1,0,0,0,1,1
91,80,0,4,68,88,0,1,0,0,0,1,1
54,99,0,1,13,14,1,1,0,1,0,1,1
79,12,1,2,18,84,1,1,0,1,0,0,1
77,72,1,5,34,24,0,1,1,0,0,1,1
67,90,1,4,52,86,1,0,0,1,1,1,1
85,60,0,1,43,98,0,0,0,1,0,0,1
52,99,0,1,43,54,0,0,1,1,0,1,1
70,9,0,4,86,95,0,0,0,0,0,1,1
95,31,1,4,95,2,0,0,1,0,0,0,1
65,49,0,3,29,50,0,0,1,0,0,1,1
86,63,1,4,60,56,1,0,0,0,0,0,1
91,47,0,5,5,11,1,1,0,1,1,1,1
54,0,1,3,96,51,0,1,0,1,0,1,1
99,45,1,3,27,23,0,1,0,0,0,0,1
63,54,1,3,38,43,0,0,1,0,0,1,1
80,84,0,5,38,59,0,0,0,0,0,0,0
95,92,1,4,21,56,1,1,1,1,1,0,1
73,38,0,1,61,3,1,0,1,1,1,0,1
84,36,0,1,27,71,1,0,0,1,0,0,1
85,30,1,3,26,9,0,1,1,0,1,0,1
59,33,1,1,27,10,0,0,1,0,0,1,1
76,99,0,3,28,94,0,0,1,1,1,0,1
76,26,0,4,22,1,0,1,1,1,1,0,1
72,46,0,4,89,20,0,1,1,1,0,0,1
62,18,0,4,97,82,0,0,0,0,0,0,1
65,88,0,3,70,45,0,0,1,0,1,1,1
84,88,1,5,92,37,0,0,1,1,0,1,1
76,78,1,4,78,23,0,1,0,1,1,1,1
88,92,0,5,8,62,0,1,1,1,1,1,1
96,41,0,5,39,44,1,1,0,0,1,1,1
66,19,1,1,54,57,0,0,0,1,0,0,1
97,2,1,4,53,90,0,1,1,0,1,0,1
90,42,1,4,78,44,0,1,1,1,0,1,1
50,49,1,5,10,69,1,1,1,0,1,0,1
60,29,1,2,35,45,0,0,1,1,1,1,1
61,65,0,2,19,20,0,1,0,0,1,1,1
63,21,1,3,33,49,0,0,0,1,0,1,1
57,81,0,2,15,70,1,1,0,1,1,1,1
80,89,1,3,80,51,1,1,0,1,0,0,1
56,78,1,5,53,69,0,1,0,0,0,0,1
95,86,0,4,70,13,0,1,0,1,0,1,1
80,79,1,3,44,3,1,0,1,1,0,0,1
65,82,1,3,16,96,0,1,0,1,1,1,1
91,11,0,1,17,53,0,0,1,1,0,1,1
88,54,1,4,58,28,0,1,1,0,1,1,1
93,24,0,4,93,49,1,1,1,0,0,1,1
68,69,0,3,24,24,1,0,1,0,1,0,1
57,6,0,3,31,55,0,0,0,1,0,0,1
78,61,0,4,99,60,0,0,1,1,1,0,1
51,41,0,2,14,62,0,1,1,1,0,0,1
91,60,1,1,74,59,0,0,1,1,1,0,1
52,47,1,2,28,45,1,0,0,1,1,0,1
78,12,0,5,7,27,1,1,1,1,0,0,1
64,12,1,3,56,58,0,1,0,0,1,1,1
87,45,0,3,90,2,1,1,1,0,0,1,1
77,37,0,4,62,45,1,0,1,0,1,0,1
86,82,0,5,39,97,0,0,1,0,0,1,1
81,73,1,2,29,19,1,0,0,0,0,0,1
79,72,1,5,12,80,1,1,1,1,1,0,1
96,53,1,2,76,77,0,0,1,1,1,1,1
79,40,0,4,65,80,1,0,1,0,0,1,1
83,8,0,2,17,33,0,0,1,0,1,1,1
62,0,0,5,99,55,0,1,0,0,0,1,1
82,32,1,4,33,51,1,0,0,1,1,1,1
91,12,1,2,92,45,0,0,1,1,0,1,1
66,20,0,2,29,6,1,0,1,1,0,0,1
52,15,1,1,57,92,0,1,0,0,0,1,1
58,23,0,2,88,64,1,0,0,0,0,1,1
60,62,0,1,90,30,1,1,1,1,0,0,1
98,54,1,5,33,53,1,1,1,1,1,0,1
76,81,0,2,72,45,1,0,0,0,1,0,1
77,87,1,1,41,72,1,0,0,1,1,0,1
51,9,1,4,56,68,0,0,1,1,1,1,1
50,98,1,3,85,73,1,1,1,1,1,1,1
55,96,0,5,18,19,1,0,0,1,1,0,1
74,70,1,4,55,71,0,1,0,0,1,0,1
84,91,0,4,72,37,0,0,0,1,1,1,1
65,35,0,5,51,85,1,0,1,0,0,1,1
53,83,1,4,17,53,1,0,1,0,1,1,1
96,38,0,4,19,18,1,0,1,0,0,1,1
87,65,1,1,66,35,0,0,0,1,1,0,1
93,33,0,3,39,90,1,1,1,0,1,0,1
69,97,0,4,59,41,1,1,0,0,1,0,1
74,33,0,3,19,64,1,1,1,0,1,0,1
56,3,0,1,37,2,0,1,1,0,1,0,1
70,86,0,5,52,95,0,1,1,1,0,1,1
56,50,0,3,13,33,1,1,1,1,1,0,1
78,33,1,1,27,70,1,1,0,0,0,1,1
56,3,1,1,80,77,0,1,0,0,1,0,1
52,77,1,1,17,33,0,1,0,0,1,1,1
78,34,1,3,78,63,1,0,1,0,0,0,1
78,79,1,2,23,24,1,1,1,0,1,0,1
88,43,0,4,26,98,1,0,1,1,0,0,1
87,97,1,1,92,84,0,1,1,0,0,0,1
55,30,1,5,23,16,0,0,0,0,0,0,1
95,41,1,2,1,14,1,1,0,0,0,0,1
59,28,1,2,60,14,0,0,1,0,0,0,1
86,9,0,1,87,84,1,1,1,1,0,1,1
63,11,0,5,77,12,1,0,0,1,1,1,1
71,25,1,4,75,20,0,1,1,1,1,1,1
81,57,0,1,14,16,0,1,0,0,1,1,1
67,73,1,3,1,92,0,1,0,1,0,0,1
85,62,0,3,49,14,0,0,1,1,0,1,1
95,96,1,4,17,37,0,0,0,0,1,0,0
58,21,0,5,42,21,0,0,0,0,1,0,1
75,75,1,3,9,9,0,0,0,0,1,0,0
71,35,0,2,16,60,0,0,1,1,1,0,1
95,56,1,5,11,22,1,1,1,1,1,1,1
87,44,1,3,75,86,0,1,0,1,0,1,1
72,66,0,2,38,6,0,0,1,1,0,1,1
66,96,1,5,6,89,1,1,0,0,0,1,1
75,92,1,1,69,70,1,1,1,1,0,0,1
96,74,0,3,56,16,1,0,0,1,0,1,1
87,99,1,5,28,73,1,1,1,1,1,1,1
51,29,1,5,73,56,0,1,1,0,1,1,1
55,61,1,4,46,69,1,0,1,0,1,0,1
56,41,1,1,42,36,0,1,0,0,0,0,1
62,87,0,5,57,33,0,1,1,1,0,1,1
76,37,0,2,39,21,1,1,1,1,1,0,1
60,63,1,5,36,58,1,1,0,1,0,0,1
64,29,0,5,9,90,0,0,0,1,1,0,1
58,97,0,5,4,58,1,0,1,0,0,1,1
57,35,1,5,87,67,0,0,0,0,1,0,0
95,80,0,5,96,73,1,1,1,0,0,0,1
55,84,0,2,13,63,0,1,1,0,1,1,1
97,33,0,3,32,72,0,0,0,1,1,0,1
92,3,0,3,67,68,1,0,0,1,1,1,1
53,95,0,3,47,5,0,0,0,1,1,1,1
60,72,1,2,93,79,1,0,1,0,1,0,1
77,88,0,1,81,39,0,0,1,0,1,0,1
75,62,1,1,24,3,1,1,0,1,1,1,1
53,25,0,5,72,44,0,1,1,1,1,1,1
64,89,1,2,4,16,0,1,0,1,1,1,1
68,37,0,4,7,34,1,1,0,0,1,1,1
55,74,0,5,94,31,0,0,0,1,1,0,1
54,96,0,4,19,73,1,0,1,1,1,1,1
67,67,1,5,75,47,0,0,1,1,1,1,1
55,63,0,1,4,36,0,1,0,0,1,0,1
80,85,0,4,67,30,0,0,0,1,0,0,1
74,77,0,5,53,9,1,1,0,1,0,0,1
53,96,1,1,66,38,0,1,0,0,0,0,1
55,5,0,3,9,32,0,0,1,0,1,1,1
90,21,1,3,81,2,0,1,0,1,0,1,1
86,40,1,4,28,57,0,0,1,1,0,1,1
99,13,0,4,96,11,1,1,0,0,0,1,1
74,27,0,4,94,54,1,1,1,1,1,1,1
83,34,1,2,35,88,1,0,0,1,1,1,1
68,0,1,4,68,88,0,1,0,1,0,0,1
83,55,1,5,20,59,1,1,0,1,0,1,1
64,44,0,3,47,55,1,1,0,1,0,1,1
99,48,1,1,94,41,1,0,1,0,0,0,1
57,51,1,5,29,27,0,0,1,1,1,1,1
93,59,0,2,36,77,0,1,1,1,0,0,1
96,17,1,3,59,43,1,1,0,0,1,1,1
98,96,1,1,36,47,1,0,1,0,0,1,1
83,96,0,3,88,68,1,0,0,1,1,0,1
67,11,1,1,9,18,0,0,1,1,1,0,1
79,42,0,5,78,69,1,0,0,0,1,0,1
62,70,1,4,51,6,0,0,1,0,1,1,1
96,82,1,4,4,76,0,1,1,0,0,1,1
82,33,0,5,79,43,0,0,1,1,0,0,1
84,51,0,4,9,74,0,1,1,0,1,0,1
73,52,1,5,95,47,0,0,1,1,1,1,1
75,69,0,1,53,56,1,1,1,0,0,1,1
96,81,1,5,91,98,0,0,1,0,0,1,1
93,54,1,2,19,33,1,0,0,0,1,0,1
91,10,0,3,37,83,0,0,0,1,0,1,1
96,76,1,1,83,18,0,0,0,0,0,1,0
50,41,0,4,17,13,1,0,0,1,1,0,1
62,81,0,5,10,53,0,1,0,0,1,0,1
59,31,0,1,59,17,0,0,0,1,0,1,1
68,3,1,3,14,62,0,1,0,1,1,1,1
54,98,1,2,60,53,1,0,1,1,1,1,1
57,42,1,4,48,1,0,0,0,1,1,0,1
53,94,1,1,27,74,1,1,0,0,1,1,1
98,6,1,4,82,11,1,1,1,1,0,0,1
62,64,1,1,5,16,1,0,0,0,1,1,1
87,4,1,2,45,47,1,1,1,1,1,0,1
95,4,1,1,4,21,0,1,0,0,0,1,1
98,63,1,3,40,19,1,0,1,0,0,1,1
95,64,0,4,98,62,1,0,0,0,0,0,1
68,99,0,5,69,95,1,1,0,1,1,1,1
99,86,1,1,9,50,0,0,0,1,0,1,1
57,94,1,1,33,73,1,1,1,1,0,0,1
76,29,1,3,84,37,0,0,0,0,1,0,1
99,22,0,1,40,45,0,1,0,0,1,1,1
96,87,1,3,87,86,1,1,0,1,1,1,1
79,49,0,1,43,83,1,1,1,0,0,1,1
53,26,1,5,52,0,1,1,0,1,0,0,1
60,56,0,1,79,6,0,0,0,1,0,0,1
70,11,0,3,7,2,0,1,1,0,0,0,1
92,2,1,3,45,42,1,0,1,1,1,1,1
51,85,1,5,38,48,1,1,0,1,0,1,1
70,12,1,5,48,65,0,1,1,0,1,1,1
66,80,0,5,24,73,0,0,1,1,1,0,1
92,2,0,1,87,49,0,1,0,0,0,1,1
78,91,1,4,69,87,0,0,0,1,1,0,1
76,76,0,5,76,87,1,1,1,1,0,0,1
73,35,0,4,84,27,1,0,1,1,1,1,1
98,0,1,5,12,92,1,1,0,1,0,0,1
52,61,1,5,92,62,0,1,1,0,1,1,1
88,77,1,2,35,37,0,1,1,0,1,0,1
59,18,1,2,85,41,1,1,0,1,0,0,1
52,35,0,5,5,66,0,1,1,0,0,0,1
94,10,0,2,38,87,1,1,1,1,1,0,1
91,19,1,2,52,51,0,1,1,1,0,1,1
75,27,0,3,81,98,0,1,0,1,0,1,1
86,9,1,2,55,64,0,0,0,0,1,1,1
76,38,1,4,65,67,0,0,1,1,1,0,1
54,12,1,5,51,64,1,0,1,1,0,1,1
91,69,0,5,12,25,1,1,1,0,1,1,1
60,86,0,4,8,27,1,1,0,0,1,0,1
62,62,1,1,67,48,1,1,1,0,0,1,1
90,12,0,5,61,65,1,1,1,0,0,1,1
83,66,1,1,36,7,0,1,1,0,1,1,1
87,59,0,2,13,97,0,0,1,0,0,0,1
89,0,1,2,87,28,0,1,1,0,0,1,1
82,24,1,5,71,36,0,1,0,0,1,1,1
83,93,0,1,39,38,1,0,1,0,1,0,1
76,92,1,3,53,61,1,1,1,0,1,1,1
85,96,0,5,94,37,0,1,0,1,0,0,1
75,4,0,5,36,99,1,0,0,1,0,1,1
74,72,1,2,46,81,0,1,1,1,0,1,1
68,18,0,4,72,59,1,1,1,0,1,0,1
70,45,0,4,74,90,0,0,0,0,1,0,0
80,92,1,1,5,53,0,1,0,1,1,1,1
78,71,1,3,39,50,1,1,0,0,0,1,1
58,72,1,2,2,63,1,0,1,1,1,0,1
68,16,0,3,19,13,1,1,1,0,1,1,1
75,86,1,3,57,30,0,1,1,0,0,0,1
74,79,1,4,3,83,1,0,0,1,0,0,1
89,20,0,1,55,20,1,0,0,1,0,1,1
92,48,0,4,88,46,1,0,0,0,0,0,1
78,85,1,3,74,12,1,1,1,0,1,0,1
74,87,0,2,86,49,0,0,0,0,0,0,0
68,97,1,1,1,44,0,1,1,1,1,0,1
53,66,1,5,19,60,1,1,1,0,1,1,1
94,48,1,3,28,74,0,1,0,0,0,0,1
69,90,0,3,29,45,1,0,1,0,0,1,1
95,11,0,3,97,45,1,1,1,1,1,0,1
50,24,1,1,22,20,1,1,1,1,0,0,1
60,15,1,3,7,62,1,1,1,0,1,0,1
53,25,1,3,8,91,1,1,1,0,1,1,1
56,5,1,3,41,23,1,0,0,0,0,0,1
77,22,1,3,93,34,0,1,1,0,0,0,1
85,54,0,5,83,34,0,1,1,0,0,0,1
56,51,1,1,22,81,1,0,1,1,1,1,1
69,34,1,4,72,62,1,0,0,0,1,1,1
84,29,0,2,49,92,0,1,1,0,1,0,1
88,12,0,1,71,64,1,1,0,1,0,1,1
70,44,0,4,64,60,1,0,1,0,1,0,1
93,58,0,4,28,58,1,0,1,1,1,0,1
50,20,0,4,69,51,1,0,0,0,0,1,1
86,63,0,4,19,39,0,1,1,0,0,1,1
95,46,1,2,7,79,0,1,1,0,0,1,1
91,97,0,4,60,99,0,0,0,0,1,1,0
52,75,0,5,59,11,1,0,1,0,1,0,1
83,46,0,2,38,22,1,1,0,0,0,0,1
62,94,1,3,89,60,1,1,1,0,0,0,1
65,11,1,3,5,56,1,0,0,0,1,0,1
83,70,1,2,35,13,1,1,0,0,0,1,1
73,95,1,4,88,41,0,1,1,0,1,1,1
62,34,0,2,10,8,0,1,0,1,0,0,1
55,41,0,1,60,65,1,1,1,1,1,0,1
88,21,1,4,73,25,0,0,1,0,0,0,1
51,74,1,5,36,32,1,0,0,0,0,1,1
60,91,0,2,58,17,0,1,1,1,0,1,1
56,81,1,5,21,85,0,1,0,1,1,1,1
56,57,0,1,16,66,0,1,1,0,1,0,1
88,6,0,5,45,12,1,0,0,1,0,0,1
88,11,0,1,80,12,0,1,0,1,0,0,1
61,61,0,2,6,0,1,0,1,0,1,0,1
71,93,1,1,53,67,1,0,0,0,0,1,1
52,77,0,3,41,62,0,1,0,1,0,1,1
62,19,0,1,25,65,0,0,0,1,1,1,1
79,7,0,2,34,40,1,0,1,1,1,1,1
59,57,1,1,67,71,1,0,1,0,0,0,1
58,16,1,5,22,72,0,0,0,1,1,0,1
55,70,0,5,93,92,1,0,1,1,0,0,1
93,40,0,1,52,36,1,0,1,0,1,0,1
51,79,0,3,24,97,0,1,1,0,0,0,1
93,62,1,5,49,5,0,0,0,0,0,1,0
65,66,1,5,33,93,1,0,0,0,1,0,1
62,10,1,3,99,70,0,0,0,0,1,1,1
97,41,1,4,88,29,1,0,1,1,0,1,1
62,42,1,4,38,85,0,0,1,0,0,1,1
71,40,0,4,75,14,1,1,1,0,0,0,1
68,29,0,3,62,54,1,0,1,1,0,0,1
75,74,0,3,35,34,1,1,0,0,1,0,1
63,74,1,5,88,44,1,1,1,0,0,1,1
80,31,1,3,57,47,1,1,1,0,0,0,1
78,81,0,3,7,32,1,1,1,0,1,1,1
94,99,0,2,11,91,0,0,0,0,0,1,0
91,36,1,5,0,12,1,0,0,0,0,0,1
71,61,0,1,36,95,1,0,0,0,1,0,1
56,81,1,3,5,63,1,1,0,0,1,1,1
86,85,1,4,9,79,0,0,0,1,0,0,1
98,27,0,4,69,75,1,0,0,0,0,0,1
90,25,1,3,42,49,1,0,1,0,1,0,1
76,47,0,3,14,32,0,0,1,1,1,1,1
80,54,1,1,86,65,1,1,1,0,1,0,1
55,72,0,1,38,78,1,0,1,1,1,1,1
65,97,0,4,33,41,1,1,1,1,0,0,1
87,73,1,4,35,97,0,1,0,1,1,1,1
87,11,1,1,8,91,1,0,1,0,1,0,1
99,48,0,4,95,59,1,0,1,1,1,0,1
81,92,0,2,2,85,1,1,0,1,0,0,1
82,16,0,1,55,97,0,1,1,0,0,0,1
98,66,0,3,36,42,1,0,0,0,0,1,1
66,72,1,2,60,1,0,1,1,0,1,1,1
82,33,0,3,20,19,0,1,1,1,1,0,1
60,48,0,4,19,11,0,1,0,1,1,0,1
62,14,0,3,30,4,0,1,0,0,1,1,1
79,40,1,4,73,9,0,1,0,1,1,1,1
50,65,0,5,20,27,0,1,1,0,0,0,1
79,46,1,4,33,79,1,1,1,0,1,0,1
76,95,0,4,98,65,0,0,0,0,1,0,0
89,22,0,3,90,99,0,1,0,0,1,1,1
72,64,0,4,82,0,0,0,0,1,0,0,1
69,76,0,5,50,80,1,1,0,1,0,1,1
55,40,1,4,35,72,1,0,0,1,0,1,1
86,64,1,4,62,17,0,0,1,1,1,0,1
69,92,1,1,74,84,1,0,1,1,0,1,1
86,31,1,2,75,50,0,0,1,0,1,1,1
55,60,1,1,69,0,1,0,0,0,1,1,1
78,28,0,5,58,23,1,1,0,0,0,1,1
62,57,0,2,92,45,1,1,1,0,0,1,1
76,83,0,5,75,81,1,1,1,0,1,1,1
99,96,0,4,54,72,1,1,1,0,1,0,1
69,43,0,2,80,9,1,1,1,0,1,0,1
62,68,1,3,35,91,0,0,0,0,1,0,0
88,81,0,4,84,73,1,0,0,0,0,1,1
57,93,0,2,98,50,1,0,0,0,0,1,1
66,26,1,5,76,38,0,0,0,0,1,0,1
79,89,1,1,3,31,0,0,0,1,0,0,1
50,82,1,3,61,7,1,0,0,0,1,1,1
73,51,1,2,38,74,1,0,1,1,0,0,1
65,84,1,5,71,70,0,0,1,0,0,1,1
60,47,1,3,11,70,1,1,1,1,0,0,1
53,57,0,4,85,62,1,1,1,1,0,1,1
53,41,1,4,85,51,1,1,0,0,1,0,1
66,71,0,3,78,82,1,0,1,0,0,0,1
98,98,1,2,11,43,0,0,1,0,1,1,1
59,28,0,1,1,45,1,0,1,0,0,1,1
70,32,1,4,12,49,1,0,1,1,0,0,1
87,12,1,4,42,95,1,0,0,0,0,0,1
98,88,1,5,23,89,0,0,1,0,0,1,1
67,71,0,1,69,48,0,1,1,1,1,0,1
59,73,1,1,48,78,0,0,0,0,0,1,0
94,60,0,1,37,37,1,1,0,1,1,0,1
65,39,0,1,12,48,1,0,0,0,0,0,1
88,45,1,4,51,88,0,1,0,0,1,0,1
64,33,1,4,82,67,0,1,1,1,1,1,1
83,94,1,1,24,43,0,0,1,1,0,1,1
54,99,0,4,20,58,1,0,1,0,0,1,1
66,60,1,2,16,30,1,0,1,0,1,1,1
86,34,1,4,15,72,0,0,0,1,1,0,1
57,66,1,2,14,80,0,0,0,0,0,1,0
73,29,0,4,36,21,0,0,1,0,0,1,1
77,39,1,5,87,6,0,1,1,1,1,0,1
96,63,0,4,35,68,1,1,0,1,1,0,1
57,22,0,5,20,30,1,0,1,1,0,1,1
72,99,1,3,54,87,0,0,1,0,0,0,1
84,53,0,2,10,54,1,0,1,0,1,1,1
80,64,0,2,71,60,0,1,0,1,0,0,1
66,26,1,5,61,65,1,1,0,0,1,1,1
77,68,1,5,39,40,1,1,1,1,0,1,1
97,43,0,4,21,7,1,0,1,1,0,0,1
97,47,0,2,65,73,1,0,0,1,0,1,1
61,9,1,5,10,39,1,1,1,0,1,1,1
73,70,1,4,93,8,0,1,0,1,0,0,1
64,29,1,4,27,28,1,1,0,1,0,1,1
89,5,1,1,52,16,0,0,1,0,0,1,1
80,1,0,1,99,20,0,1,0,0,0,1,1
76,86,1,3,32,4,1,0,0,1,1,1,1
84,26,0,2,7,35,1,1,0,1,0,1,1
67,93,1,5,38,59,1,1,0,1,1,0,1
85,5,0,2,46,79,1,1,0,0,1,1,1
57,16,1,4,54,99,0,0,1,0,1,1,1
95,26,1,5,22,33,1,0,0,1,1,0,1
98,44,1,1,20,76,0,1,1,0,0,0,1
87,26,0,5,68,78,1,1,0,0,0,0,1
54,78,0,1,86,50,1,1,0,0,0,0,1
63,88,1,4,32,98,0,1,1,0,0,1,1
87,8,0,3,64,67,1,1,0,1,1,1,1
69,19,1,1,83,5,0,0,0,1,1,0,1
93,93,0,1,16,31,1,0,0,0,0,0,1
58,59,0,3,43,87,0,1,1,1,0,0,1
82,75,1,3,73,50,1,0,1,0,0,0,1
67,46,1,5,67,76,0,1,0,1,0,1,1
55,21,1,4,80,64,0,0,0,0,1,1,1
86,66,0,2,79,26,1,0,0,1,0,0,1
51,61,0,1,81,87,1,0,1,0,1,1,1
79,57,0,4,76,14,0,1,0,1,0,1,1
55,26,1,4,34,25,0,1,0,1,1,1,1
66,53,0,4,43,79,0,1,0,1,1,0,1
88,68,1,4,56,72,1,1,0,1,1,0,1
90,22,1,4,24,27,1,0,1,0,0,0,1
72,82,1,5,64,35,0,0,0,1,1,0,1
80,38,0,5,48,23,0,1,0,0,1,1,1
69,65,1,3,32,75,1,1,0,1,0,1,1
54,4,0,5,8,5,0,1,1,0,0,1,1
70,19,0,1,99,2,1,1,1,1,0,1,1
92,91,0,1,15,52,1,1,0,0,1,0,1
60,7,0,5,34,17,1,1,1,1,0,1,1
53,93,0,4,24,39,1,1,1,1,0,1,1
72,98,1,3,84,71,1,0,0,1,1,0,1
87,88,0,3,44,97,0,0,0,0,1,1,0
79,57,1,5,87,31,1,1,1,1,1,0,1
91,76,1,2,47,28,1,0,1,0,0,0,1
90,69,0,5,82,11,0,0,1,1,0,1,1
67,44,1,4,5,60,0,1,1,0,0,0,1
90,13,1,4,53,61,0,1,0,1,1,0,1
92,38,1,5,66,28,1,0,1,1,0,1,1
80,79,0,2,52,27,1,0,0,1,1,1,1
79,0,0,4,21,87,1,1,1,0,1,0,1
83,51,1,1,91,96,1,1,0,1,1,0,1
80,68,1,1,75,84,1,0,0,1,0,1,1
96,45,0,1,76,62,0,1,0,1,1,0,1
87,22,1,1,62,99,0,1,1,0,0,1,1
74,30,1,4,46,96,0,0,1,1,0,0,1
66,32,1,3,13,3,1,0,0,1,1,0,1
85,95,0,4,26,76,1,1,0,0,1,1,1
89,45,1,3,43,33,1,0,0,0,1,1,1
79,3,0,2,97,59,0,0,0,0,1,1,1
51,60,0,2,41,62,1,0,1,0,1,0,1
73,35,0,4,12,28,0,1,1,0,0,1,1
58,19,1,3,38,81,0,0,0,0,1,1,1
50,98,1,4,18,89,0,1,0,0,0,1,1
73,17,0,4,41,58,0,0,1,0,1,0,1
87,3,1,3,27,26,1,1,0,0,1,1,1
97,60,0,5,5,91,1,0,0,1,0,0,1
76,72,1,2,60,66,0,0,1,0,1,1,1
75,65,1,2,10,58,0,1,0,0,0,0,1
75,15,1,2,95,19,1,1,1,1,1,1,1
56,8,1,2,65,96,1,1,1,0,1,0,1
74,52,0,2,26,89,1,0,1,1,1,0,1
65,22,0,4,21,91,0,0,1,0,0,0,1
87,10,1,4,23,12,0,1,0,1,1,1,1
91,44,0,4,53,43,0,0,0,0,0,0,0
67,12,1,5,85,68,0,0,1,0,0,1,1
66,3,0,5,79,5,0,0,1,0,0,0,1
98,22,1,5,48,54,1,1,0,1,0,0,1
93,12,0,3,36,50,0,0,0,0,1,0,1
96,25,0,1,1,20,0,1,0,0,1,0,1
55,53,1,4,55,61,0,0,1,1,0,1,1
69,90,0,4,86,27,1,0,1,0,0,1,1
97,40,1,3,71,3,0,0,1,1,0,0,1
72,41,0,3,61,64,1,0,0,1,1,1,1
95,0,1,2,46,98,1,1,0,1,1,0,1
61,55,0,3,73,46,0,1,1,0,1,0,1
61,59,0,3,72,73,1,1,1,1,0,1,1
83,52,1,2,12,62,1,0,0,0,1,1,1
57,27,0,5,60,35,0,1,0,1,0,1,1
76,40,0,2,91,37,1,0,1,1,1,1,1
98,85,1,2,3,1,1,1,0,1,0,0,1
57,21,1,2,21,45,1,1,1,0,0,1,1
97,70,0,3,77,97,1,1,1,1,1,1,1
82,76,1,1,53,90,0,0,0,0,0,1,0
86,7,1,3,38,76,1,0,1,1,1,1,1
68,3,1,4,58,24,0,1,0,0,0,0,1
73,74,1,5,52,23,0,0,1,0,0,0,1
71,27,0,1,99,97,1,0,1,1,0,1,1
52,57,1,4,65,30,1,1,1,1,0,0,1
58,88,1,3,52,8,1,1,1,1,0,0,1
60,49,1,1,80,60,0,1,1,1,0,1,1
55,46,0,5,74,31,1,1,0,1,0,1,1
88,73,0,2,13,68,0,1,0,0,1,0,1
88,36,1,2,8,43,1,1,0,0,1,0,1
86,8,0,4,69,78,0,1,1,0,1,1,1
51,9,0,3,54,59,0,1,0,1,0,1,1
86,99,0,3,83,11,0,0,1,1,1,1,1
55,1,1,5,50,93,0,0,0,1,1,1,1
55,38,0,3,34,29,0,0,1,1,0,0,1
88,20,1,5,95,17,0,0,1,0,0,1,1
85,45,0,4,38,68,0,1,1,0,0,0,1
74,89,1,1,82,2,0,0,1,1,1,0,1
99,44,1,4,70,12,0,0,1,0,0,0,1
65,89,1,4,14,6,0,1,0,0,0,1,1
70,69,1,2,31,13,0,1,0,1,1,1,1
59,64,0,3,44,46,1,0,0,1,1,1,1
54,58,1,5,32,78,1,0,1,0,0,0,1
99,70,0,2,31,7,1,1,1,1,1,0,1
74,70,1,3,81,51,0,0,1,0,1,0,1
80,17,1,2,64,86,1,1,0,1,0,1,1
52,11,0,1,20,6,1,1,1,1,0,1,1
69,17,0,3,10,70,1,0,0,0,1,0,1
53,37,0,1,82,66,1,1,0,0,0,0,1
63,94,1,1,35,55,0,0,1,1,1,0,1
61,57,0,3,95,16,0,1,1,0,0,1,1
63,73,0,1,54,24,0,0,0,0,0,1,0
86,12,1,5,29,2,0,0,1,0,1,0,1
67,17,1,5,96,23,1,0,0,0,1,0,1
76,36,1,4,44,95,0,1,1,1,0,0,1
56,32,0,2,14,42,1,1,0,0,1,1,1
97,3,0,4,80,10,1,0,0,1,1,1,1
84,76,0,2,32,5,0,0,1,1,1,1,1
71,37,1,5,92,94,0,0,0,1,1,1,1
70,71,1,5,54,9,0,1,1,0,1,0,1
92,61,0,5,78,50,0,1,0,1,0,1,1
67,5,1,1,39,74,0,0,1,1,0,1,1
87,17,0,1,51,44,0,1,0,0,1,1,1
75,18,1,1,57,48,0,0,0,1,1,0,1
71,18,1,3,24,90,1,0,1,1,1,1,1
86,81,0,1,16,65,0,1,0,1,0,0,1
54,33,1,3,21,34,0,1,1,1,1,1,1
97,10,1,1,11,40,1,0,0,0,1,1,1
